sample_id,method,operator,condition
sample_001,raman,B,test
sample_002,raman,C,control
sample_003,raman,,test
sample_004,raman,E,control
sample_005,raman,A,control
sample_006,raman,B,test
sample_007,raman,C,test
sample_008,raman,D,test
sample_009,raman,E,test
sample_010,raman,A,control
sample_011,raman,B,control
sample_012,raman,C,test
sample_013,raman,D,control
sample_014,raman,E,control
sample_015,raman,A,control
sample_016,raman,B,control
sample_017,raman,C,control
sample_018,raman,D,test
sample_019,raman,E,control
sample_020,raman,A,test
sample_004,raman,B,duplicate
